Date,Open,High,Low,Close,Adj Close,Volume
2016-06-17,0.380000,0.380000,0.379000,0.379000,0.379000,6500
2016-06-20,0.389000,0.389000,0.369000,0.370000,0.370000,6600
2016-06-21,0.396000,0.396000,0.387000,0.387000,0.387000,3500
2016-06-22,0.388000,0.388000,0.375000,0.376000,0.376000,40300
2016-06-23,0.379000,0.385000,0.372000,0.376000,0.376000,25400
2016-06-24,0.379000,0.379000,0.365000,0.365000,0.365000,6500
2016-06-27,0.367000,0.369000,0.355000,0.363000,0.363000,25800
2016-06-28,0.362000,0.368000,0.360000,0.360000,0.360000,99200
2016-06-29,0.360000,0.360000,0.360000,0.360000,0.360000,57500
2016-06-30,0.317000,0.368000,0.317000,0.368000,0.368000,27600
2016-07-01,0.385000,0.385000,0.340000,0.340000,0.340000,58700
2016-07-05,0.377000,0.380000,0.362000,0.369000,0.369000,30200
2016-07-06,0.367000,0.373000,0.367000,0.372000,0.372000,15900
2016-07-07,0.368000,0.368000,0.363000,0.363000,0.363000,7800
2016-07-08,0.368000,0.368000,0.347000,0.347000,0.347000,31800
2016-07-11,0.350000,0.360000,0.337000,0.342000,0.342000,42100
2016-07-12,0.394000,0.394000,0.350000,0.358000,0.358000,40900
2016-07-13,0.358000,0.358000,0.357000,0.357000,0.357000,4100
2016-07-14,0.360000,0.360000,0.347000,0.360000,0.360000,17500
2016-07-15,0.358000,0.358000,0.355000,0.355000,0.355000,10500
2016-07-18,0.349000,0.349000,0.330000,0.331000,0.331000,105500
2016-07-19,0.337000,0.339000,0.328000,0.336000,0.336000,36800
2016-07-20,0.340000,0.341000,0.339000,0.341000,0.341000,31300
2016-07-21,0.346000,0.346000,0.332000,0.345000,0.345000,108300
2016-07-22,0.340000,0.340000,0.336000,0.340000,0.340000,15000
2016-07-25,0.341000,0.342000,0.330000,0.336000,0.336000,25700
2016-07-26,0.337000,0.339000,0.320000,0.339000,0.339000,17200
2016-07-27,0.326000,0.340000,0.317000,0.320000,0.320000,89600
2016-07-28,0.332000,0.343000,0.332000,0.340000,0.340000,103500
2016-07-29,0.344000,0.351000,0.330000,0.344000,0.344000,85900
2016-08-01,0.342000,0.354000,0.340000,0.340000,0.340000,9600
2016-08-02,0.340000,0.349000,0.339000,0.342000,0.342000,36000
2016-08-03,0.348000,0.364000,0.340000,0.363000,0.363000,237900
2016-08-04,0.408000,0.435000,0.405000,0.434000,0.434000,101500
2016-08-05,0.435000,0.529000,0.435000,0.500000,0.500000,391300
2016-08-08,0.422000,0.537000,0.422000,0.475000,0.475000,126800
2016-08-09,0.466000,0.504000,0.463000,0.480000,0.480000,185300
2016-08-10,0.496000,0.519000,0.491000,0.510000,0.510000,55600
2016-08-11,0.541000,0.543000,0.503000,0.505000,0.505000,182700
2016-08-12,0.510000,0.510000,0.466000,0.467000,0.467000,96600
2016-08-15,0.492000,0.521000,0.492000,0.505000,0.505000,56400
2016-08-16,0.502000,0.529000,0.502000,0.519000,0.519000,20300
2016-08-17,0.513000,0.526000,0.492000,0.492000,0.492000,47800
2016-08-18,0.511000,0.513000,0.503000,0.503000,0.503000,27800
2016-08-19,0.506000,0.510000,0.488000,0.500000,0.500000,57100
2016-08-22,0.497000,0.506000,0.481000,0.485000,0.485000,58200
2016-08-23,0.501000,0.525000,0.498000,0.520000,0.520000,25400
2016-08-24,0.523000,0.578000,0.523000,0.552000,0.552000,94600
2016-08-25,0.577000,0.583000,0.550000,0.576000,0.576000,233900
2016-08-26,0.586000,0.658000,0.580000,0.648000,0.648000,182200
2016-08-29,0.662000,0.858000,0.647000,0.801000,0.801000,519600
2016-08-30,0.873000,0.887000,0.682000,0.691000,0.691000,275500
2016-08-31,0.645000,0.688000,0.596000,0.629000,0.629000,302800
2016-09-01,0.666000,0.692000,0.640000,0.669000,0.669000,95900
2016-09-02,0.709000,0.770000,0.697000,0.730000,0.730000,73100
2016-09-06,0.772000,0.783000,0.750000,0.761000,0.761000,242900
2016-09-07,0.801000,0.818000,0.779000,0.816000,0.816000,133900
2016-09-08,0.843000,0.844000,0.811000,0.822000,0.822000,217300
2016-09-09,0.822000,0.844000,0.742000,0.808000,0.808000,173900
2016-09-12,0.816000,0.836000,0.800000,0.829000,0.829000,187600
2016-09-13,0.824000,0.824000,0.800000,0.809000,0.809000,29700
2016-09-14,0.798000,0.815000,0.788000,0.813000,0.813000,78900
2016-09-15,0.820000,0.880000,0.816000,0.879000,0.879000,123600
2016-09-16,0.894000,0.950000,0.894000,0.903000,0.903000,261600
2016-09-19,0.944000,0.954000,0.915000,0.945000,0.945000,176300
2016-09-20,0.967000,1.014000,0.955000,1.014000,1.014000,226200
2016-09-21,1.050000,1.090000,1.028000,1.085000,1.085000,237100
2016-09-22,1.110000,1.120000,0.991000,1.000000,1.000000,421500
2016-09-23,0.967000,1.040000,0.918000,1.006000,1.006000,370500
2016-09-26,1.008000,1.050000,1.005000,1.020000,1.020000,168600
2016-09-27,1.037000,1.060000,1.000000,1.025000,1.025000,157300
2016-09-28,1.040000,1.040000,0.980000,1.040000,1.040000,185800
2016-09-29,1.040000,1.050000,1.020000,1.040000,1.040000,126700
2016-09-30,1.064000,1.090000,1.040000,1.060000,1.060000,163200
2016-10-03,1.060000,1.130000,1.060000,1.118000,1.118000,569900
2016-10-04,1.129000,1.220000,1.129000,1.156000,1.156000,707200
